run;timestamp;sistema;query_id;carga;categoria;metrica;unidade;valor;tempo;num_tuplas;observacao
1;2026-05-10 12:59:54;sistema_arthur;1;Busca básica de produto por ASIN;Lookup Simples;tuplas por milissegundos;tp/ms;1.174396742459761;0.8515;1;cache quente
1;2026-05-10 12:59:54;sistema_arthur;2;Busca do identificador interno do produto;Lookup Simples;tuplas por milissegundos;tp/ms;4.429051037636932;0.2258;1;cache quente
1;2026-05-10 12:59:54;sistema_arthur;3;Busca de reviews de um produto;Lookup Simples;tuplas por milissegundos;tp/ms;0.0736514579167939;162.9296;12;cache quente
1;2026-05-10 12:59:54;sistema_arthur;4;Busca de produtos similares;Lookup Simples;tuplas por milissegundos;tp/ms;14.644804938269237;0.3414;5;cache quente
1;2026-05-10 12:59:54;sistema_arthur;5;Busca de categorias de um produto;Lookup Simples;tuplas por milissegundos;tp/ms;6.588548467495564;0.3036;2;cache quente
1;2026-05-10 12:59:54;sistema_arthur;6;Busca de reviews positivos de um produto;Lookup Simples;tuplas por milissegundos;tp/ms;0.059637215433330074;184.4486;11;cache quente
1;2026-05-10 12:59:54;sistema_arthur;7;Busca de reviews úteis de um produto;Lookup Simples;tuplas por milissegundos;tp/ms;0.006085080845880678;164.3364;1;cache quente
1;2026-05-10 12:59:54;sistema_arthur;8;Busca de informações resumidas do produto;Lookup Simples;tuplas por milissegundos;tp/ms;3.154643788178999;0.3170;1;cache quente
1;2026-05-10 12:59:54;sistema_arthur;9;Produtos com sales rank alto;Filtros;tuplas por milissegundos;tp/ms;358.97663343519065;29.5590;10611;cache quente
1;2026-05-10 12:59:54;sistema_arthur;10;Produtos com muitos downloads;Filtros;tuplas por milissegundos;tp/ms;16.077822677267665;27.9267;449;cache quente
1;2026-05-10 12:59:54;sistema_arthur;11;Reviews com alta utilidade;Filtros;tuplas por milissegundos;tp/ms;199.4560927728857;192.8094;38457;cache quente
1;2026-05-10 12:59:55;sistema_arthur;12;Reviews negativos com muitos votos;Filtros;tuplas por milissegundos;tp/ms;791.591713521771;202.5804;160361;cache quente
